Content,Video title,Video publish time,Views,Impressions,Impressions click-through rate (%),Average view duration
Total,,,270092,3710637,5.19,0:06:15
gv053aS_rhQ,When SUKUNA Woke Up and went TRYHARD on the SHIBUYA Lobby!,"Nov 20, 2023",58005,936959,4.81,0:07:52
3ONJNbGmVP4,John Wick was HIM once he Put On that BLACK SUIT!,"Sep 22, 2023",26896,595724,3.39,0:07:52
E0Kogn_2u7c,SASUKE and ITACHI Ran one of the CRAZIEST FADES in Naruto!,"Nov 3, 2023",20231,217714,6.59,0:06:43
D9SqzCNlIYs,KAKASHI and OBITO went HIT for HIT in one of the CLEANEST FADES ever.,"Sep 9, 2023",20095,250088,5.8,0:04:48
s1Z5_IfoW6I,How Tai Lung gets his “HIM” Badge REVOKED by Po and SELLS the 1v1.,"Aug 19, 2023",19073,243939,5.85,0:04:44
WQnRtsdGt68,When CAESAR Finally gave KOBA the FAITH of a One on One!,"Oct 15, 2023",18597,264031,5.22,0:04:09
4XDNaI7KjHg,The Most DISRESPECTFUL Violations in Anime!,"Oct 7, 2023",14867,167651,5.31,0:08:28
5AW58EJlgaw,Why Tai Lung is HIM! The Furious Five get SQUAD WIPED,"Jul 15, 2023",12515,150110,5.92,0:03:59
LQmzgZHm9Ow,How Superman got JUMPED by his own RACE! The Kryptonians Ran his FADE.,"Aug 26, 2023",12284,144006,6.01,0:05:34
eHSA4uX1oOU,The LEGENDARY GET BACK. Tai Lung RETIRES Master Shifu,"Jul 22, 2023",12052,119417,6.81,0:03:04
4xjzhbQ-RB4,When OPTIMUS had SENTINEL on his KNEES. Then VIOLATES MEGATRON!,"Jul 29, 2023",11669,119497,7.11,0:05:00
vDPcceE6lDA,THE MOST VICIOUS GETBACKS IN ANIME...,"May 21, 2023",7949,95231,5.75,0:06:47
3py54W7nIS0,THE DAWG OF HELL’S PARADISE…,"Jun 18, 2023",6324,74202,5.97,0:08:29
bnqLMOwkjDs,When OPTIMUS tried to Run the Ones. But MEGATRON Brought His GOONS,"Sep 2, 2023",6178,63409,6.55,0:05:33
CFY1OKp_PG8,GOJO Finally gets PACKED UP! But he POPS a Self-Revive,"Aug 5, 2023",5744,69823,4.73,0:06:42
0_FiGXr5IxY,ANIME OLDHEADS ARE BUILT DIFFERENT,"Mar 8, 2023",2859,29939,6.57,0:05:29
NANfCEntCU4,Gohan’s MASTERCLASS on REVERSE Jumping,"Jul 7, 2023",2098,19989,4.98,0:05:17
i7LeL5ZYeKk,When Luffy POPPED a Perky! Kaido gets VIOLATED.,"Aug 12, 2023",1755,17641,4.75,0:04:13
PCu0AgcksHg,LUFFY: The BIGGEST Opp in One Piece,"Jul 1, 2023",1554,15797,4.41,0:06:26
jeK5DK5qbEI,MAJIN BUU VIOLATES GOKU AND VEGETA...,"Apr 17, 2023",1341,16701,4.53,0:06:45
2Ld6cp0A3EY,ISAGI: THE HOOD FIVE ARE SOME DAWGS,"May 2, 2023",1314,17590,4.31,0:06:14
VsmciMUNvmI,ITADORI: THE LAST CURSED MENACE,"Feb 12, 2023",1292,12420,5.98,0:05:23
Jr8QRUMLQZw,IF BLACK PEOPLE MADE CHAINSAW MAN…,"Apr 10, 2023",1253,15894,4.17,0:07:42
QU1vQ69eHrc,ISAGI: THE TRUE DAWG OF BLUE LOCK,"Mar 22, 2023",1253,15420,4.92,0:05:47
cEhsgVSmjoc,ISAGI: BLUE LOCK CREATED A DAWG,"Feb 19, 2023",832,11365,4.75,0:06:05
NwLn93BztLI,ANIME VILLAINS ARE BUILT DIFFERENT,"Feb 26, 2023",776,9987,4.22,0:05:47
P-OqzdMe_rw,EMINENCE IN SHADOW: MENACE UNVEILED,"Jan 23, 2023",544,7152,4.95,0:03:51
fjcE1lPSkCU,THESE ANIME CHARACTERS ARE BRED DIFFERENT,"Feb 3, 2023",497,7024,3.93,0:04:00
S3vJgV1FAZ4,How To RIZZ Any Anime Waifu?!,"Jan 15, 2023",245,1917,5.79,0:02:40
