Date,Subscription source,Subscribers
2023-11-10,Other,0
2023-11-11,Other,0
2023-11-12,Other,0
2023-11-13,Other,0
2023-11-14,Other,0
2023-11-15,Other,0
2023-11-16,Other,0
2023-11-17,Other,0
2023-11-18,Other,0
2023-11-19,Other,0
2023-11-20,Other,0
2023-11-21,Other,0
2023-11-22,Other,0
2023-11-23,Other,0
2023-11-24,Other,0
2023-11-25,Other,0
2023-11-26,Other,0
2023-11-27,Other,0
2023-11-28,Other,0
2023-11-29,Other,0
2023-11-30,Other,0
2023-12-01,Other,0
2023-12-02,Other,0
2023-12-03,Other,0
2023-12-04,Other,0
2023-12-05,Other,0
2023-12-06,Other,0
2023-12-07,Other,0
2023-11-10,YouTube watch page,110
2023-11-11,YouTube watch page,94
2023-11-12,YouTube watch page,96
2023-11-13,YouTube watch page,100
2023-11-14,YouTube watch page,90
2023-11-15,YouTube watch page,109
2023-11-16,YouTube watch page,122
2023-11-17,YouTube watch page,99
2023-11-18,YouTube watch page,121
2023-11-19,YouTube watch page,90
2023-11-20,YouTube watch page,232
2023-11-21,YouTube watch page,191
2023-11-22,YouTube watch page,124
2023-11-23,YouTube watch page,126
2023-11-24,YouTube watch page,118
2023-11-25,YouTube watch page,102
2023-11-26,YouTube watch page,124
2023-11-27,YouTube watch page,124
2023-11-28,YouTube watch page,134
2023-11-29,YouTube watch page,98
2023-11-30,YouTube watch page,99
2023-12-01,YouTube watch page,96
2023-12-02,YouTube watch page,97
2023-12-03,YouTube watch page,117
2023-12-04,YouTube watch page,110
2023-12-05,YouTube watch page,85
2023-12-06,YouTube watch page,125
2023-12-07,YouTube watch page,0
2023-11-10,Interactive features,6
2023-11-11,Interactive features,1
2023-11-12,Interactive features,2
2023-11-13,Interactive features,1
2023-11-14,Interactive features,1
2023-11-15,Interactive features,1
2023-11-16,Interactive features,3
2023-11-17,Interactive features,0
2023-11-18,Interactive features,1
2023-11-19,Interactive features,2
2023-11-20,Interactive features,3
2023-11-21,Interactive features,2
2023-11-22,Interactive features,2
2023-11-23,Interactive features,2
2023-11-24,Interactive features,1
2023-11-25,Interactive features,1
2023-11-26,Interactive features,1
2023-11-27,Interactive features,0
2023-11-28,Interactive features,1
2023-11-29,Interactive features,-1
2023-11-30,Interactive features,0
2023-12-01,Interactive features,1
2023-12-02,Interactive features,2
2023-12-03,Interactive features,0
2023-12-04,Interactive features,2
2023-12-05,Interactive features,1
2023-12-06,Interactive features,1
2023-12-07,Interactive features,0
