Date,Subscription status,Views
11/10/2023,Subscribed,1272
11/11/2023,Subscribed,1167
11/12/2023,Subscribed,1155
11/13/2023,Subscribed,1076
11/14/2023,Subscribed,1144
11/15/2023,Subscribed,974
11/16/2023,Subscribed,1102
11/17/2023,Subscribed,1041
11/18/2023,Subscribed,943
11/19/2023,Subscribed,922
11/20/2023,Subscribed,5247
11/21/2023,Subscribed,3660
11/22/2023,Subscribed,1879
11/23/2023,Subscribed,1769
11/24/2023,Subscribed,1506
11/25/2023,Subscribed,1342
11/26/2023,Subscribed,1485
11/27/2023,Subscribed,1281
11/28/2023,Subscribed,1221
11/29/2023,Subscribed,1006
11/30/2023,Subscribed,964
12/1/2023,Subscribed,916
12/2/2023,Subscribed,884
12/3/2023,Subscribed,997
12/4/2023,Subscribed,852
12/5/2023,Subscribed,865
12/6/2023,Subscribed,906
12/7/2023,Subscribed,984
11/10/2023,Not subscribed,7930
11/11/2023,Not subscribed,8012
11/12/2023,Not subscribed,7369
11/13/2023,Not subscribed,7084
11/14/2023,Not subscribed,7179
11/15/2023,Not subscribed,7522
11/16/2023,Not subscribed,7689
11/17/2023,Not subscribed,7115
11/18/2023,Not subscribed,8238
11/19/2023,Not subscribed,6646
11/20/2023,Not subscribed,21260
11/21/2023,Not subscribed,19571
11/22/2023,Not subscribed,9946
11/23/2023,Not subscribed,8789
11/24/2023,Not subscribed,8077
11/25/2023,Not subscribed,7719
11/26/2023,Not subscribed,7623
11/27/2023,Not subscribed,7310
11/28/2023,Not subscribed,6831
11/29/2023,Not subscribed,6306
11/30/2023,Not subscribed,6333
12/1/2023,Not subscribed,5836
12/2/2023,Not subscribed,6633
12/3/2023,Not subscribed,6431
12/4/2023,Not subscribed,6211
12/5/2023,Not subscribed,6507
12/6/2023,Not subscribed,6868
12/7/2023,Not subscribed,8497
