Date,Traffic source,Views
2023-11-10,Direct or unknown,116
2023-11-11,Direct or unknown,104
2023-11-12,Direct or unknown,115
2023-11-13,Direct or unknown,125
2023-11-14,Direct or unknown,103
2023-11-15,Direct or unknown,129
2023-11-16,Direct or unknown,120
2023-11-17,Direct or unknown,107
2023-11-18,Direct or unknown,98
2023-11-19,Direct or unknown,109
2023-11-20,Direct or unknown,236
2023-11-21,Direct or unknown,371
2023-11-22,Direct or unknown,183
2023-11-23,Direct or unknown,151
2023-11-24,Direct or unknown,110
2023-11-25,Direct or unknown,102
2023-11-26,Direct or unknown,128
2023-11-27,Direct or unknown,134
2023-11-28,Direct or unknown,110
2023-11-29,Direct or unknown,105
2023-11-30,Direct or unknown,109
2023-12-01,Direct or unknown,99
2023-12-02,Direct or unknown,93
2023-12-03,Direct or unknown,95
2023-12-04,Direct or unknown,97
2023-12-05,Direct or unknown,94
2023-12-06,Direct or unknown,109
2023-12-07,Direct or unknown,34
2023-11-10,YouTube advertising,0
2023-11-11,YouTube advertising,0
2023-11-12,YouTube advertising,0
2023-11-13,YouTube advertising,0
2023-11-14,YouTube advertising,0
2023-11-15,YouTube advertising,0
2023-11-16,YouTube advertising,0
2023-11-17,YouTube advertising,0
2023-11-18,YouTube advertising,0
2023-11-19,YouTube advertising,0
2023-11-20,YouTube advertising,0
2023-11-21,YouTube advertising,0
2023-11-22,YouTube advertising,0
2023-11-23,YouTube advertising,0
2023-11-24,YouTube advertising,0
2023-11-25,YouTube advertising,0
2023-11-26,YouTube advertising,0
2023-11-27,YouTube advertising,0
2023-11-28,YouTube advertising,0
2023-11-29,YouTube advertising,0
2023-11-30,YouTube advertising,0
2023-12-01,YouTube advertising,0
2023-12-02,YouTube advertising,0
2023-12-03,YouTube advertising,0
2023-12-04,YouTube advertising,0
2023-12-05,YouTube advertising,0
2023-12-06,YouTube advertising,0
2023-12-07,YouTube advertising,0
2023-11-10,Browse features,5101
2023-11-11,Browse features,5129
2023-11-12,Browse features,4437
2023-11-13,Browse features,4617
2023-11-14,Browse features,4671
2023-11-15,Browse features,5225
2023-11-16,Browse features,5181
2023-11-17,Browse features,4693
2023-11-18,Browse features,5560
2023-11-19,Browse features,4547
2023-11-20,Browse features,19950
2023-11-21,Browse features,16391
2023-11-22,Browse features,7124
2023-11-23,Browse features,5594
2023-11-24,Browse features,4886
2023-11-25,Browse features,4786
2023-11-26,Browse features,4857
2023-11-27,Browse features,4757
2023-11-28,Browse features,4107
2023-11-29,Browse features,4068
2023-11-30,Browse features,4099
2023-12-01,Browse features,3728
2023-12-02,Browse features,4352
2023-12-03,Browse features,4205
2023-12-04,Browse features,4160
2023-12-05,Browse features,4269
2023-12-06,Browse features,4330
2023-12-07,Browse features,5424
2023-11-10,Channel pages,770
2023-11-11,Channel pages,714
2023-11-12,Channel pages,809
2023-11-13,Channel pages,683
2023-11-14,Channel pages,725
2023-11-15,Channel pages,641
2023-11-16,Channel pages,721
2023-11-17,Channel pages,687
2023-11-18,Channel pages,650
2023-11-19,Channel pages,646
2023-11-20,Channel pages,1350
2023-11-21,Channel pages,1306
2023-11-22,Channel pages,866
2023-11-23,Channel pages,877
2023-11-24,Channel pages,725
2023-11-25,Channel pages,704
2023-11-26,Channel pages,806
2023-11-27,Channel pages,627
2023-11-28,Channel pages,704
2023-11-29,Channel pages,598
2023-11-30,Channel pages,597
2023-12-01,Channel pages,612
2023-12-02,Channel pages,613
2023-12-03,Channel pages,705
2023-12-04,Channel pages,536
2023-12-05,Channel pages,539
2023-12-06,Channel pages,659
2023-12-07,Channel pages,722
2023-11-10,YouTube search,357
2023-11-11,YouTube search,399
2023-11-12,YouTube search,327
2023-11-13,YouTube search,322
2023-11-14,YouTube search,302
2023-11-15,YouTube search,249
2023-11-16,YouTube search,289
2023-11-17,YouTube search,263
2023-11-18,YouTube search,318
2023-11-19,YouTube search,312
2023-11-20,YouTube search,458
2023-11-21,YouTube search,417
2023-11-22,YouTube search,371
2023-11-23,YouTube search,362
2023-11-24,YouTube search,360
2023-11-25,YouTube search,398
2023-11-26,YouTube search,369
2023-11-27,YouTube search,364
2023-11-28,YouTube search,306
2023-11-29,YouTube search,284
2023-11-30,YouTube search,274
2023-12-01,YouTube search,262
2023-12-02,YouTube search,281
2023-12-03,YouTube search,284
2023-12-04,YouTube search,242
2023-12-05,YouTube search,251
2023-12-06,YouTube search,283
2023-12-07,YouTube search,302
2023-11-10,Suggested videos,2060
2023-11-11,Suggested videos,2161
2023-11-12,Suggested videos,2051
2023-11-13,Suggested videos,1722
2023-11-14,Suggested videos,1780
2023-11-15,Suggested videos,1584
2023-11-16,Suggested videos,1714
2023-11-17,Suggested videos,1636
2023-11-18,Suggested videos,1780
2023-11-19,Suggested videos,1374
2023-11-20,Suggested videos,2820
2023-11-21,Suggested videos,3242
2023-11-22,Suggested videos,2166
2023-11-23,Suggested videos,2689
2023-11-24,Suggested videos,2613
2023-11-25,Suggested videos,2336
2023-11-26,Suggested videos,2180
2023-11-27,Suggested videos,2025
2023-11-28,Suggested videos,2076
2023-11-29,Suggested videos,1618
2023-11-30,Suggested videos,1624
2023-12-01,Suggested videos,1455
2023-12-02,Suggested videos,1536
2023-12-03,Suggested videos,1564
2023-12-04,Suggested videos,1537
2023-12-05,Suggested videos,1582
2023-12-06,Suggested videos,1750
2023-12-07,Suggested videos,2052
2023-11-10,Other YouTube features,259
2023-11-11,Other YouTube features,221
2023-11-12,Other YouTube features,220
2023-11-13,Other YouTube features,186
2023-11-14,Other YouTube features,248
2023-11-15,Other YouTube features,219
2023-11-16,Other YouTube features,255
2023-11-17,Other YouTube features,248
2023-11-18,Other YouTube features,226
2023-11-19,Other YouTube features,181
2023-11-20,Other YouTube features,525
2023-11-21,Other YouTube features,602
2023-11-22,Other YouTube features,509
2023-11-23,Other YouTube features,332
2023-11-24,Other YouTube features,300
2023-11-25,Other YouTube features,250
2023-11-26,Other YouTube features,245
2023-11-27,Other YouTube features,236
2023-11-28,Other YouTube features,247
2023-11-29,Other YouTube features,230
2023-11-30,Other YouTube features,230
2023-12-01,Other YouTube features,228
2023-12-02,Other YouTube features,223
2023-12-03,Other YouTube features,213
2023-12-04,Other YouTube features,219
2023-12-05,Other YouTube features,220
2023-12-06,Other YouTube features,246
2023-12-07,Other YouTube features,410
2023-11-10,External,10
2023-11-11,External,20
2023-11-12,External,19
2023-11-13,External,14
2023-11-14,External,10
2023-11-15,External,8
2023-11-16,External,15
2023-11-17,External,13
2023-11-18,External,20
2023-11-19,External,11
2023-11-20,External,20
2023-11-21,External,33
2023-11-22,External,14
2023-11-23,External,10
2023-11-24,External,20
2023-11-25,External,7
2023-11-26,External,7
2023-11-27,External,9
2023-11-28,External,4
2023-11-29,External,12
2023-11-30,External,9
2023-12-01,External,5
2023-12-02,External,5
2023-12-03,External,15
2023-12-04,External,8
2023-12-05,External,13
2023-12-06,External,2
2023-12-07,External,5
2023-11-10,Playlists,314
2023-11-11,Playlists,238
2023-11-12,Playlists,392
2023-11-13,Playlists,354
2023-11-14,Playlists,325
2023-11-15,Playlists,269
2023-11-16,Playlists,328
2023-11-17,Playlists,337
2023-11-18,Playlists,311
2023-11-19,Playlists,228
2023-11-20,Playlists,607
2023-11-21,Playlists,573
2023-11-22,Playlists,407
2023-11-23,Playlists,353
2023-11-24,Playlists,404
2023-11-25,Playlists,298
2023-11-26,Playlists,355
2023-11-27,Playlists,307
2023-11-28,Playlists,356
2023-11-29,Playlists,302
2023-11-30,Playlists,206
2023-12-01,Playlists,249
2023-12-02,Playlists,262
2023-12-03,Playlists,225
2023-12-04,Playlists,152
2023-12-05,Playlists,277
2023-12-06,Playlists,271
2023-12-07,Playlists,361
2023-11-10,Notifications,2
2023-11-11,Notifications,2
2023-11-12,Notifications,0
2023-11-13,Notifications,2
2023-11-14,Notifications,1
2023-11-15,Notifications,0
2023-11-16,Notifications,0
2023-11-17,Notifications,0
2023-11-18,Notifications,1
2023-11-19,Notifications,0
2023-11-20,Notifications,234
2023-11-21,Notifications,40
2023-11-22,Notifications,12
2023-11-23,Notifications,8
2023-11-24,Notifications,5
2023-11-25,Notifications,1
2023-11-26,Notifications,1
2023-11-27,Notifications,4
2023-11-28,Notifications,0
2023-11-29,Notifications,2
2023-11-30,Notifications,0
2023-12-01,Notifications,0
2023-12-02,Notifications,1
2023-12-03,Notifications,0
2023-12-04,Notifications,0
2023-12-05,Notifications,1
2023-12-06,Notifications,0
2023-12-07,Notifications,1
2023-11-10,End screens,213
2023-11-11,End screens,191
2023-11-12,End screens,154
2023-11-13,End screens,135
2023-11-14,End screens,158
2023-11-15,End screens,172
2023-11-16,End screens,168
2023-11-17,End screens,172
2023-11-18,End screens,217
2023-11-19,End screens,160
2023-11-20,End screens,307
2023-11-21,End screens,256
2023-11-22,End screens,173
2023-11-23,End screens,182
2023-11-24,End screens,158
2023-11-25,End screens,179
2023-11-26,End screens,160
2023-11-27,End screens,128
2023-11-28,End screens,142
2023-11-29,End screens,93
2023-11-30,End screens,149
2023-12-01,End screens,114
2023-12-02,End screens,151
2023-12-03,End screens,122
2023-12-04,End screens,112
2023-12-05,End screens,126
2023-12-06,End screens,124
2023-12-07,End screens,170
2023-11-10,Hashtag pages,0
2023-11-11,Hashtag pages,0
2023-11-12,Hashtag pages,0
2023-11-13,Hashtag pages,0
2023-11-14,Hashtag pages,0
2023-11-15,Hashtag pages,0
2023-11-16,Hashtag pages,0
2023-11-17,Hashtag pages,0
2023-11-18,Hashtag pages,0
2023-11-19,Hashtag pages,0
2023-11-20,Hashtag pages,0
2023-11-21,Hashtag pages,0
2023-11-22,Hashtag pages,0
2023-11-23,Hashtag pages,0
2023-11-24,Hashtag pages,2
2023-11-25,Hashtag pages,0
2023-11-26,Hashtag pages,0
2023-11-27,Hashtag pages,0
2023-11-28,Hashtag pages,0
2023-11-29,Hashtag pages,0
2023-11-30,Hashtag pages,0
2023-12-01,Hashtag pages,0
2023-12-02,Hashtag pages,0
2023-12-03,Hashtag pages,0
2023-12-04,Hashtag pages,0
2023-12-05,Hashtag pages,0
2023-12-06,Hashtag pages,0
2023-12-07,Hashtag pages,0
