Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,270092,28147.3197,0:06:15,3710637,5.19
Browse features,160248,15677.4793,0:05:52,2236041,5.49
Suggested videos,54727,6479.0855,0:07:06,888797,4.61
Channel pages,20592,2445.5601,0:07:07,411998,4.52
Playlists,9061,1182.3919,0:07:49,50601,4.01
YouTube search,9006,664.5517,0:04:25,123200,6.58
Other YouTube features,7728,843.5517,0:06:32,,
End screens,4586,518.1832,0:06:46,,
Direct or unknown,3486,271.692,0:04:41,,
External,338,20.9328,0:03:49,,
Notifications,318,43.8897,0:08:16,,
Hashtag pages,2,0.0019,0:00:03,,
YouTube advertising,0,0,,,
